Vendor ID,Vendor Name,Item type,Item ID,Item name,Barcode,SKU,Stock Unit,Vendor item ID,Default quantity,Default price,Primary vendor,Active
13,House of Spices,product,3326,Laxmi RaagiFlr 2LB,723246246079,723246246079,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3327,Laxmi Ragi Flr 400Gm,723246121468,723246121468,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3328,Laxmi Rajagro 400Gm,723246121352,723246121352,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3329,Laxmi Rajma Drk 4LB,723246184067,723246184067,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3420,Laxmi Rajma Light 2LB,723246184050,723246184050,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3421,Laxmi Rajma Light 4LB,723246184074,723246184074,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3330,Laxmi Raw Peanuts 14oz,723246170374,723246170374,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3331,Laxmi Raw peanuts 800Gm,723246170381,723246170381,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3422,Laxmi Red Lentil 4LB,723246181394,723246181394,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3423,Laxmi RedChori 2LB,723246181387,723246181387,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3424,Laxmi RedChori 4LB,723246181509,723246181509,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3425,Laxmi RedLentil 2LB,723246181516,723246181516,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3332,Laxmi RedPearl Onion 400Gm,7232462600136,7232462600136,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3099,Laxmi REWADI 7oz,723246090009,723246090009,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3333,Laxmi Rice Flour 25LB,1206,1206,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3334,Laxmi Rice Flour 50LB,1212,1212,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3335,Laxmi Rice Flour 8LB,723246121178,723246121178,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3336,Laxmi Rice Flr 2LB,7232461211852,7232461211852,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3337,Laxmi Rice Flr 4LB,7232461216048,7232461216048,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3338,Laxmi Rstd FennelSeed 200Gm,723246178059,723246178059,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3339,Laxmi Sabudana 2LB,723246121314,723246121314,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3340,Laxmi Sabudana 400Gm,723246121307,723246121307,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3341,Laxmi SABUDANA 4LB,723246121376,723246121376,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3342,Laxmi Sabudana 4LB,723246121550,723246121550,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3343,Laxmi Saffron 1Gm,723246296012,723246296012,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,2307,Laxmi Saffron 1Gram,897897,897897,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3344,Laxmi Sago Papad 12oz,723246126081,723246126081,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3345,Laxmi SambharMix 400Gm,7232462600822,7232462600822,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3346,Laxmi Samolina 2LB,723246131412,723246131412,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3347,Laxmi Semolina 4LB,723246131405,723246131405,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3426,Laxmi Sesame Oil 2Ltr,7232462700676,7232462700676,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3348,Laxmi SESAME OIL 473ml,723246101156,723246101156,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3349,Laxmi Sesame Oil 5Ltr,7232462700744,7232462700744,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3350,Laxmi Sharbati Flour 20LB,1225,1225,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3351,Laxmi Shredded Coconut Frozen 400Gm,723246160085,723246160085,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3352,Laxmi SINGODA FLR 14OZ,724263121332,724263121332,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3353,Laxmi Singoda Flr 400Gm,723246121338,723246121338,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3354,Laxmi Sliced Almond 7oz,15008,15008,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3355,Laxmi SonaMasoori 10LB,1619,1619,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3356,Laxmi Sonamasoori 20LB,723246116136,723246116136,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3357,Laxmi Sooji Course 2LB,723246121208,723246121208,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3358,Laxmi Sooji Fine 2LB,723246121222,723246121222,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3359,Laxmi Sooji Fine 4LB,723246121215,723246121215,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3360,Laxmi Spinach 300Gm,723246165165,723246165165,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3361,Laxmi Spring Roll 25PK,723246160047,723246160047,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3427,Laxmi Suran 300Gm,723246165271,723246165271,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3362,Laxmi Surtipapadi Whl 300Gm,723246165288,723246165288,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3363,Laxmi SurtiPapadiLil 300Gm,723246165233,723246165233,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3428,Laxmi Surtipapdi Lilva 908Gm,723246165738,723246165738,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3364,Laxmi SurtiUndhiyuMix 300Gm,723246165172,723246165172,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3365,Laxmi Tamhini paste 16oz,7232460201670,7232460201670,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3366,Laxmi Tamrind 500Gm,723246006215,723246006215,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3367,Laxmi Tamrind 8.8oz,723246176956,723246176956,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3368,Laxmi Tamrind Concntr 400Gm,7232460061618,7232460061618,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3369,Laxmi Tamrind Paste 14oz,723246006161,723246006161,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3370,Laxmi Tandoori Naan 790Gm,723246161167,723246161167,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3371,Laxmi Tandori Paste 26.5oz,723246020129,723246020129,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3372,Laxmi Tandori Paste 9oz,723246009209,723246009209,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,6860,Laxmi Tapioca Slices 908Gm,7232462600204,7232462600204,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3373,Laxmi ThinPoha 4LB,7232462360870,7232462360870,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3374,Laxmi Tindora 300Gm,723246165295,723246165295,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3429,Laxmi Toor Dal Oily 2LB,723246183114,723246183114,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3430,Laxmi ToorDal 2LB,7232461830848,7232461830848,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3431,Laxmi ToorDal Oily 4LB,723246183121,723246183121,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3432,Laxmi ToorDal Plain 4LB,7232461836338,7232461836338,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3100,Laxmi Toovar Lilva 2LB,723246165745,723246165745,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3101,Laxmi Toovar Lilva 300Gm,723246165301,723246165301,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3102,Laxmi Topioca Pcs 908Gm,7232462600372,7232462600372,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3433,Laxmi Urad Dal 4LB,7232461833290,7232461833290,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3076,Laxmi Urad Flour Coarse 2lb,723246131320,723246131320,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3375,Laxmi Urad Flr 2LB,723246121345,723246121345,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3376,Laxmi Urad Flr 4LB,723246121246,723246121246,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3377,Laxmi URAD SPLIT 2lb,7232461820566,7232461820566,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3434,Laxmi UradDal 2LB,7232461833122,7232461833122,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3435,Laxmi UradDal Splt 4LB,7232461820634,7232461820634,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3378,Laxmi VAL LILVA 10OZ,723246165332,723246165332,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3379,Laxmi VAL PAPDI 11OZ,723246165318,723246165318,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3436,Laxmi Val Whl 4LB,723246181158,723246181158,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3437,Laxmi ValDal 2LB,723246183206,723246183206,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3438,Laxmi ValWhl 2LB,723246181141,723246181141,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3380,Laxmi Wheat KURMURA 400Gm,723246121697,723246121697,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3439,Laxmi Whl Moong 4LB,7232461816392,7232461816392,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3441,Laxmi Whl Urad 4LB,7232461810970,7232461810970,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3442,Laxmi WhlMoong Big 2LB,7232461816224,7232461816224,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3443,Laxmi WhlUrad 2LB,7232461810802,7232461810802,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3444,Laxmi WhlUradGota 2LB,7232461813568,7232461813568,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3445,Laxmi WhlUradGota 4LB,7232461813636,7232461813636,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3103,Laxmi WHOLE MOONG 2LB,723246181059,723246181059,Unit,,1.0000,0.0000,Yes,Yes
